,price,area_total,area_util,quarto,banheiro,vaga,bairro
2368,R$ 505.000,120 m² área total,96 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardim Bandeirantes
2369,R$ 639.000,160 m² área total,93 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Barra Funda
2370,R$ 850.000,63 m² área total,63 m² área útil,1 Quarto,1 Banheiro,2 Vagas,<span> Itaim Bibi
2371,R$ 2.300.000,180 m² área total,180 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Perdizes
2372,R$ 300.000,60 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2373,R$ 290.000,60 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2374,R$ 310.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
2375,R$ 1.300.000,110 m² área total,110 m² área útil,3 Quartos,1 Banheiro,2 Vagas,<span> Jardim Paulista
2376,R$ 245.000,75 m² área total,55 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Santa Catarina
2377,R$ 410.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2378,R$ 650.000,103 m² área total,57 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Perdizes
2379,R$ 315.000,70 m² área total,63 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Jardim Esmeralda
2380,R$ 305.000,60 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
2381,R$ 445.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2382,R$ 525.000,74 m² área total,74 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Aclimação
2383,R$ 3.200.000,400 m² área total,365 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Morumbi
